ticker,estrategia,direccion,fecha_entrada,fecha_salida,dias_aguantados,precio_entrada,strike,prima_entrada,prima_salida,iv_estimada,mult,pct,dolares_x_contrato,toco_50,dia_50,max_mult
SPY,ma40,call,2026-06-04T14:30:00+00:00,2026-06-11T14:30:00+00:00,7.0,755.86,767.2,1.392,0.0,0.12,0.0,-100.0,-139.23,False,,1.36
SPY,ma40,call,2026-06-18T15:30:00+00:00,2026-06-25T15:30:00+00:00,7.0,746.65,757.85,1.375,0.0,0.12,0.0,-100.0,-137.47,False,,1.13
SPY,ma40,call,2026-07-02T19:30:00+00:00,2026-07-09T19:30:00+00:00,7.0,744.84,756.01,1.372,0.0,0.12,0.0,-100.0,-137.19,False,,1.35
SPY,ma40,call,2026-07-08T16:30:00+00:00,2026-07-14T17:30:00+00:00,6.0,745.72,756.91,1.372,1.253,0.12,0.913,-8.7,-11.91,True,0.9,2.53
SPY,ma40,call,2026-07-09T13:30:00+00:00,2026-07-14T17:30:00+00:00,5.2,747.88,759.1,1.377,1.408,0.12,1.023,2.3,3.12,True,0.1,2.15
SPY,ma40,call,2026-07-14T16:30:00+00:00,2026-07-14T17:30:00+00:00,0.0,752.3,763.58,1.386,1.403,0.12,1.012,1.2,1.71,False,,1.01
SPY,canal,call,2026-06-09T19:30:00+00:00,2026-06-18T19:30:00+00:00,9.0,737.06,748.12,2.618,3.424,0.12,1.308,30.8,80.61,True,2.8,3.97
SPY,canal,put,2026-06-16T16:30:00+00:00,2026-06-26T19:30:00+00:00,10.1,752.19,740.91,2.111,7.655,0.12,3.626,262.6,554.38,True,1.0,5.57
SPY,canal,call,2026-06-24T14:30:00+00:00,2026-07-06T14:30:00+00:00,12.0,739.64,750.73,2.63,0.03,0.12,0.011,-98.9,-259.97,False,,1.41
SPY,canal,put,2026-07-01T19:30:00+00:00,2026-07-13T19:30:00+00:00,12.0,745.7,734.51,2.091,0.0,0.12,0.0,-100.0,-209.13,False,,1.43
SPY,canal,put,2026-07-07T13:30:00+00:00,2026-07-14T17:30:00+00:00,7.2,746.7,735.5,2.095,2.006,0.12,0.958,-4.2,-8.88,True,1.0,1.82
SPY,canal,put,2026-07-13T15:30:00+00:00,2026-07-14T17:30:00+00:00,1.1,750.29,739.04,2.106,1.487,0.12,0.706,-29.4,-61.88,False,,1.21
SPY,canal,put,2026-07-14T15:30:00+00:00,2026-07-14T17:30:00+00:00,0.1,750.78,739.52,2.107,1.749,0.12,0.83,-17.0,-35.82,False,,1.0
QQQ,ma40,call,2026-06-29T14:30:00+00:00,2026-07-06T14:30:00+00:00,7.0,717.23,727.99,1.32,1.442,0.12,1.092,9.2,12.19,True,0.1,8.13
QQQ,ma40,call,2026-07-06T13:30:00+00:00,2026-07-13T13:30:00+00:00,7.0,724.1,734.96,1.334,0.0,0.12,0.0,-100.0,-133.35,False,,1.18
QQQ,canal,put,2026-06-04T19:30:00+00:00,2026-06-16T19:30:00+00:00,12.0,740.5,729.39,2.077,4.018,0.12,1.934,93.4,194.04,True,0.8,16.97
QQQ,canal,call,2026-06-09T19:30:00+00:00,2026-06-18T19:30:00+00:00,9.0,707.96,718.58,3.475,13.517,0.142,3.89,289.0,1004.2,True,2.0,7.63
QQQ,canal,put,2026-06-22T14:30:00+00:00,2026-07-02T19:30:00+00:00,10.2,736.63,725.58,2.067,10.099,0.12,4.886,388.6,803.22,True,1.0,9.55
