ticker,estrategia,direccion,fecha_entrada,fecha_salida,dias_aguantados,precio_entrada,strike,prima_entrada,prima_salida,iv_estimada,mult,pct,dolares_x_contrato,toco_50,dia_50,max_mult
AAPL,piso_fuerte,call,2017-07-07T00:00:00,2017-07-21T00:00:00,14.0,33.45,35.46,0.128,0.1,0.268,0.776,-22.4,-2.88,True,7.0,1.55
AAPL,piso_fuerte,call,2017-10-02T00:00:00,2017-10-16T00:00:00,14.0,35.83,37.97,0.037,0.0,0.189,0.0,-100.0,-3.7,False,,1.13
AAPL,piso_fuerte,call,2017-10-05T00:00:00,2017-10-19T00:00:00,14.0,36.19,38.37,0.045,0.0,0.197,0.0,-100.0,-4.49,False,,1.0
AAPL,piso_fuerte,call,2017-10-24T00:00:00,2017-11-07T00:00:00,14.0,36.59,38.79,0.013,1.032,0.155,76.765,7576.5,101.83,True,3.0,143.36
AAPL,piso_fuerte,call,2018-02-14T00:00:00,2018-02-28T00:00:00,14.0,39.28,41.64,0.408,0.472,0.389,1.157,15.7,6.42,True,1.0,1.91
AAPL,piso_fuerte,call,2018-03-26T00:00:00,2018-04-09T00:00:00,14.0,40.55,42.98,0.196,0.0,0.289,0.0,-100.0,-19.6,False,,1.0
AAPL,piso_fuerte,call,2018-04-03T00:00:00,2018-04-17T00:00:00,14.0,39.52,41.89,0.224,0.182,0.305,0.813,-18.7,-4.2,True,1.0,1.83
AAPL,piso_fuerte,call,2018-05-01T00:00:00,2018-05-15T00:00:00,14.0,39.69,42.07,0.245,1.296,0.316,5.28,428.0,105.04,True,1.0,10.57
AAPL,piso_fuerte,call,2018-07-02T00:00:00,2018-07-16T00:00:00,14.0,44.1,46.75,0.012,0.0,0.147,0.0,-100.0,-1.18,False,,1.0
AAPL,piso_fuerte,call,2018-07-06T00:00:00,2018-07-20T00:00:00,14.0,44.29,46.95,0.03,0.023,0.173,0.769,-23.1,-0.68,True,3.0,1.54
AAPL,piso_fuerte,call,2018-12-03T00:00:00,2018-12-17T00:00:00,14.0,43.85,46.48,0.73,0.0,0.486,0.0,-100.0,-73.0,False,,1.0
AAPL,piso_fuerte,call,2018-12-10T00:00:00,2018-12-24T00:00:00,14.0,40.24,42.65,0.678,0.0,0.489,0.0,-100.0,-67.83,False,,1.0
AAPL,piso_fuerte,call,2019-01-04T00:00:00,2019-01-18T00:00:00,14.0,35.18,37.29,0.947,0.0,0.633,0.0,-100.0,-94.66,False,,1.12
AAPL,piso_fuerte,call,2019-01-15T00:00:00,2019-01-29T00:00:00,14.0,36.32,38.5,0.974,0.0,0.632,0.0,-100.0,-97.44,False,,1.14
AAPL,piso_fuerte,call,2019-02-04T00:00:00,2019-02-15T00:00:00,11.0,40.63,43.07,0.365,0.022,0.366,0.059,-94.1,-34.35,False,,1.39
AAPL,piso_fuerte,call,2019-02-08T00:00:00,2019-02-22T00:00:00,14.0,40.61,43.04,0.392,0.0,0.377,0.0,-100.0,-39.21,False,,1.0
